p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives
48097,1,19,158,TRUE,TRUE,TRUE,TRUE,TRUE,18512.14,19,88,52,3,67,4,17,2026,199,1,284,10,49,4428,469,5
29567,2,24,423,TRUE,TRUE,TRUE,FALSE,TRUE,18470.99,27,78,117,1,0,1,2,955,73,6,1648,60,59,4593,829,5
49075,1,19,151,FALSE,FALSE,TRUE,FALSE,FALSE,18223.14,22,25,41,1,0,1,2,3386,195,5,1851,195,35,6089,654,5
25167,1,18,512,FALSE,FALSE,TRUE,TRUE,TRUE,17430.48,9,40,34,0,0,4,4,2079,199,0,0,0,14,3653,372,5
47629,2,20,162,TRUE,TRUE,TRUE,TRUE,TRUE,17131.15,11,62,63,1,148,1,8,1388,116,10,1497,55,37,4119,430,5
42124,2,34,239,FALSE,FALSE,FALSE,FALSE,FALSE,16985.73,30,45,107,0,1,7,1,2318,336,3,1332,91,38,5227,1023,5
52032,2,33,123,TRUE,TRUE,FALSE,FALSE,FALSE,16920.6,25,122,101,9,2995,1,1,1380,208,3,233,30,45,5091,456,5
37338,2,25,293,FALSE,FALSE,FALSE,FALSE,FALSE,16865.06,26,46,55,3,588,3,5,2531,133,2,1307,51,43,5049,522,5
52446,1,19,119,TRUE,TRUE,TRUE,TRUE,TRUE,16851.28,6,51,35,0,0,0,0,2682,141,1,1452,22,7,5840,452,5
27027,1,20,478,TRUE,TRUE,TRUE,TRUE,TRUE,16809.27,17,51,75,21,269,0,1,2393,162,0,26,4,46,4152,515,5
52324,2,26,120,FALSE,FALSE,FALSE,FALSE,FALSE,16582.65,21,31,34,3,11,0,3,1600,268,12,1959,93,46,4831,622,5
51757,1,23,126,FALSE,FALSE,FALSE,FALSE,TRUE,16554.33,23,30,40,1,3,5,3,3212,411,0,1535,65,29,5402,697,5
40340,2,27,254,TRUE,TRUE,TRUE,TRUE,TRUE,16163.48,12,86,50,1,310,1,10,1776,243,16,742,24,64,4839,594,5
53120,1,27,115,TRUE,TRUE,TRUE,TRUE,TRUE,16022.64,19,193,115,2,1,4,2,1879,157,9,1916,89,33,4708,504,5
48713,2,38,154,TRUE,TRUE,TRUE,TRUE,TRUE,15842.61,14,62,74,0,0,0,1,1823,223,2,1615,62,19,4900,656,5
36458,1,22,304,FALSE,FALSE,FALSE,FALSE,FALSE,15675.21,31,37,79,1,2,4,10,2839,188,4,1249,168,50,5057,729,5
53710,1,31,111,FALSE,FALSE,TRUE,TRUE,TRUE,15484.26,14,37,57,0,1,6,1,899,237,3,1969,139,21,4277,687,5
53123,1,28,115,TRUE,TRUE,TRUE,TRUE,TRUE,15482.39,18,125,84,0,0,0,3,1796,229,3,1960,114,26,4773,631,5
37654,2,32,289,TRUE,TRUE,TRUE,TRUE,TRUE,15460.66,14,83,68,0,141,0,8,580,62,6,164,9,74,3831,605,5
41721,2,18,242,FALSE,FALSE,TRUE,TRUE,TRUE,15443.68,18,121,154,5,838,1,18,945,238,11,719,94,75,4648,1138,5
56153,2,25,96,FALSE,FALSE,FALSE,TRUE,FALSE,15360.26,14,37,55,1,701,2,0,0,0,0,1978,108,15,4315,581,5
40415,1,22,253,TRUE,TRUE,TRUE,TRUE,FALSE,15281.94,18,164,75,0,0,1,3,1356,62,8,1137,32,33,3934,406,5
1634,1,21,837,TRUE,TRUE,TRUE,FALSE,TRUE,15138.81,10,62,89,1,55,0,3,1880,233,4,199,7,37,3996,749,5
50281,1,24,140,FALSE,FALSE,FALSE,FALSE,TRUE,15073.53,17,16,42,0,0,2,18,2148,237,58,1913,98,95,4246,402,5
52564,1,28,118,TRUE,TRUE,TRUE,TRUE,TRUE,14884.83,4,46,23,0,0,0,5,1276,34,1,1558,25,12,4821,255,5
47821,2,26,160,FALSE,FALSE,TRUE,TRUE,TRUE,14831.33,13,45,58,1,0,1,19,917,79,19,1010,35,94,4104,621,5
50455,1,26,138,TRUE,TRUE,FALSE,TRUE,TRUE,14701.45,20,41,50,0,354,3,1,1966,281,3,1225,167,29,5067,765,5
39330,1,21,275,TRUE,TRUE,TRUE,TRUE,TRUE,14500.36,20,47,46,0,13,1,6,1823,193,1,916,37,32,4411,510,5
50928,1,22,134,FALSE,FALSE,TRUE,TRUE,TRUE,14232.97,9,37,59,1,0,0,0,1556,178,5,504,26,14,3683,494,5
34070,1,21,353,FALSE,FALSE,TRUE,FALSE,FALSE,14213.33,19,45,78,0,2,7,2,976,88,2,1929,124,29,3655,531,5
48192,2,37,158,FALSE,FALSE,FALSE,FALSE,TRUE,14205.41,24,40,106,1,1,1,0,615,147,0,1482,34,30,4369,798,5
47606,2,31,162,FALSE,FALSE,TRUE,TRUE,TRUE,14098.55,16,235,164,0,239,1,2,993,215,5,1133,51,30,4154,827,5
43640,2,23,216,TRUE,TRUE,TRUE,TRUE,TRUE,14057.66,23,60,79,3,714,0,6,1432,109,7,1109,9,51,4361,434,5
4392,1,20,755,FALSE,FALSE,FALSE,FALSE,TRUE,13861.5,35,73,105,1,1,2,0,1230,155,5,539,21,81,3370,770,5
46543,1,24,174,FALSE,FALSE,TRUE,TRUE,TRUE,13735.16,7,54,57,0,72,2,3,2666,269,1,278,3,23,3649,465,5
44848,1,21,202,FALSE,FALSE,FALSE,FALSE,FALSE,13620.45,17,26,53,1,0,0,1,1119,112,7,1845,140,27,3233,363,5
48895,1,21,153,TRUE,TRUE,FALSE,TRUE,TRUE,13352.6,22,110,91,2,145,6,7,791,129,24,1950,119,63,3284,475,5
49855,1,32,145,TRUE,TRUE,FALSE,FALSE,FALSE,13344.06,19,47,66,0,8,1,1,941,213,0,1850,58,23,3589,511,5
41081,1,18,246,TRUE,TRUE,TRUE,TRUE,TRUE,13320.04,23,67,58,0,2,0,22,1937,137,1,314,10,58,3364,408,5
48538,1,19,155,TRUE,TRUE,TRUE,TRUE,TRUE,13311.45,20,100,62,0,0,1,0,2455,186,0,0,0,23,3291,477,5
50650,2,22,136,TRUE,TRUE,FALSE,TRUE,TRUE,13259.59,16,50,63,3,1,1,4,2012,216,4,495,4,36,5116,878,5
47988,1,23,159,TRUE,TRUE,TRUE,TRUE,TRUE,13105.6,3,130,69,0,2,1,4,639,75,2,1289,72,14,3032,518,5
34826,1,22,342,TRUE,TRUE,FALSE,TRUE,TRUE,12851.11,22,61,86,2,4,3,21,1816,202,39,1382,58,103,3808,534,5
53122,2,30,115,FALSE,FALSE,FALSE,FALSE,FALSE,12645.25,25,43,86,0,560,8,0,0,5,12,1690,57,39,3590,529,5
42619,2,31,231,TRUE,TRUE,TRUE,TRUE,TRUE,12621.4,11,75,42,4,230,0,3,1219,177,0,36,2,28,3774,790,5
37998,2,18,284,TRUE,TRUE,TRUE,TRUE,FALSE,12540.25,28,73,65,10,322,2,1,2564,191,0,337,7,46,4348,542,5
47817,1,20,161,TRUE,TRUE,FALSE,TRUE,TRUE,12303.6,12,43,57,0,0,2,0,1227,197,1,1863,85,14,3223,367,5
30367,1,18,401,FALSE,FALSE,FALSE,FALSE,FALSE,12108.56,20,27,70,0,0,5,0,822,91,1,1973,13,22,3065,275,5
53166,1,26,114,FALSE,FALSE,TRUE,TRUE,TRUE,11970.16,12,42,43,0,0,5,1,207,51,4,1934,103,24,3193,389,5
